band,question_id,link,rating,used
1,1089L,https://codeforces.com/problemset/problem/1089/L,900,false
1,1979B,https://codeforces.com/problemset/problem/1979/B,1000,false
1,886B,https://codeforces.com/problemset/problem/886/B,1000,false
1,1267B,https://codeforces.com/problemset/problem/1267/B,900,false
1,178A1,https://codeforces.com/problemset/problem/178/A1,1000,false
1,1373B,https://codeforces.com/problemset/problem/1373/B,900,false
1,706A,https://codeforces.com/problemset/problem/706/A,900,false
1,322A,https://codeforces.com/problemset/problem/322/A,1000,false
1,1883B,https://codeforces.com/problemset/problem/1883/B,900,false
1,1252A,https://codeforces.com/problemset/problem/1252/A,1000,false
1,336A,https://codeforces.com/problemset/problem/336/A,1000,false
1,501A,https://codeforces.com/problemset/problem/501/A,900,false
1,1055A,https://codeforces.com/problemset/problem/1055/A,900,false
1,1032A,https://codeforces.com/problemset/problem/1032/A,900,false
1,1243B1,https://codeforces.com/problemset/problem/1243/B1,1000,false
1,1765M,https://codeforces.com/problemset/problem/1765/M,1000,false
1,991B,https://codeforces.com/problemset/problem/991/B,800,false
1,122A,https://codeforces.com/problemset/problem/122/A,1100,false
1,1223B,https://codeforces.com/problemset/problem/1223/B,1000,false
1,1749B,https://codeforces.com/problemset/problem/1749/B,900,false
2,690A1,https://codeforces.com/problemset/problem/690/A1,1100,false
2,110B,https://codeforces.com/problemset/problem/110/B,1100,false
2,188A,https://codeforces.com/problemset/problem/188/A,1100,false
2,1604B,https://codeforces.com/problemset/problem/1604/B,1100,false
2,292A,https://codeforces.com/problemset/problem/292/A,1100,false
2,1115G1,https://codeforces.com/problemset/problem/1115/G1,1100,false
2,1001A,https://codeforces.com/problemset/problem/1001/A,1000,false
2,1342B,https://codeforces.com/problemset/problem/1342/B,1100,false
2,1857B,https://codeforces.com/problemset/problem/1857/B,1200,false
2,1070K,https://codeforces.com/problemset/problem/1070/K,1100,false
2,405B,https://codeforces.com/problemset/problem/405/B,1100,false
2,1333B,https://codeforces.com/problemset/problem/1333/B,1100,false
3,690D1,https://codeforces.com/problemset/problem/690/D1,1200,false
3,683A,https://codeforces.com/problemset/problem/683/A,1200,false
3,632A,https://codeforces.com/problemset/problem/632/A,1200,false
3,1032B,https://codeforces.com/problemset/problem/1032/B,1200,false
3,612B,https://codeforces.com/problemset/problem/612/B,1200,false
3,1928B,https://codeforces.com/problemset/problem/1928/B,1200,false
3,1006C,https://codeforces.com/problemset/problem/1006/C,1300,false
3,914B,https://codeforces.com/problemset/problem/914/B,1200,false
4,266A,https://codeforces.com/problemset/problem/266/A,800,false
4,1382B,https://codeforces.com/problemset/problem/1382/B,1100,false
4,1077C,https://codeforces.com/problemset/problem/1077/C,1300,false
